lat,lon,individual,date
-16.8763553,-57.4252217,Dale,"2015-01-03 22:00:30"
-16.9827433,-57.3821269,Alice,"2015-01-03 22:00:31"
-16.9249211,-57.3921511,Picole,"2015-01-03 22:01:15"
-16.8763769,-57.4251367,Dale,"2015-01-03 23:00:10"
-16.8948636,-57.40612,Fera,"2015-01-03 23:00:11"
-16.9826983,-57.3821531,Alice,"2015-01-03 23:00:30"
-16.8948511,-57.4060758,Fera,"2015-01-04 00:00:30"
-16.9827964,-57.3821689,Alice,"2015-01-04 00:01:17"
-16.9248228,-57.3922708,Picole,"2015-01-04 00:02:00"
-16.8948422,-57.4060622,Fera,"2015-01-04 01:00:32"
-16.9247319,-57.3922947,Picole,"2015-01-04 01:01:15"
-16.98278,-57.3818433,Alice,"2015-01-04 01:01:18"
-16.9827397,-57.3820289,Alice,"2015-01-04 02:00:21"
-16.8948764,-57.4060686,Fera,"2015-01-04 02:00:30"
-16.9247253,-57.3923233,Picole,"2015-01-04 02:01:34"
-16.8948814,-57.4060931,Fera,"2015-01-04 03:00:13"
-16.9825719,-57.3823525,Alice,"2015-01-04 03:00:20"
-16.9238825,-57.3922794,Picole,"2015-01-04 03:01:12"
-16.8948367,-57.4060442,Fera,"2015-01-04 04:00:30"
-16.9245403,-57.39228,Picole,"2015-01-04 04:01:15"
-16.9826056,-57.3824475,Alice,"2015-01-04 04:01:30"
-16.9826725,-57.3825064,Alice,"2015-01-04 05:00:25"
-16.8947972,-57.4059181,Fera,"2015-01-04 05:00:28"
-16.9245433,-57.3923639,Picole,"2015-01-04 05:01:53"
-16.8948097,-57.4058464,Fera,"2015-01-04 06:00:21"
-16.9840375,-57.3821656,Alice,"2015-01-04 06:00:30"
-16.9247708,-57.3923253,Picole,"2015-01-04 06:01:30"
-16.9830269,-57.3822892,Alice,"2015-01-04 07:00:08"
-16.894815,-57.4060681,Fera,"2015-01-04 07:00:10"
-16.9245486,-57.3923003,Picole,"2015-01-04 07:01:19"
-16.894865,-57.40608,Fera,"2015-01-04 08:00:09"
-16.9825622,-57.3823722,Alice,"2015-01-04 08:00:30"
-16.9246667,-57.3923725,Picole,"2015-01-04 08:01:01"
-16.9238908,-57.3924219,Picole,"2015-01-04 09:00:16"
-16.8947894,-57.4059731,Fera,"2015-01-04 09:00:16"
-16.9825917,-57.3823136,Alice,"2015-01-04 09:00:30"
-16.9826506,-57.3825503,Alice,"2015-01-04 10:00:14"
-16.9245536,-57.3923381,Picole,"2015-01-04 10:00:30"
